Date,Android,iOS,BlackBerry OS,Windows,Nokia Unknown,sum,SUB 100,#VALUE!,Other BEFORE,otherFinal
2009-01,0.66,35.56,0.95,2.55,0,39.72,100,60.28,0.67,60.95
2009-02,2.06,36.43,5.57,2.47,0,46.53,100,53.47,0.99,54.46
2009-03,2.18,39.6,5.97,1.98,0,49.73,100,50.27,0.66,50.93
2009-04,2.02,41.91,6.39,1.75,0,52.07,100,47.93,0.65,48.58
2009-05,1.86,37.32,6.92,1.61,0,47.71,100,52.29,0.62,52.91
2009-06,0.13,35.81,7.91,1.6,0,45.45,100,54.55,0.59,55.14
2009-07,2.21,34.2,8.55,1.61,0,46.57,100,53.43,0.61,54.04
2009-08,2.28,33.91,8.86,2.21,0,47.26,100,52.74,0.67,53.41
2009-09,2.32,31.13,8.92,2.1,0,44.47,100,55.53,0.64,56.17
2009-10,2.56,30.5,9.16,1.66,0,43.88,100,56.12,0.53,56.65
2009-11,3.31,31.56,9.73,1.38,0,45.98,100,54.02,0.47,54.49
2009-12,4.07,32.05,9.69,1.17,0,46.98,100,53.02,0.4,53.42
2010-01,4.54,33.13,10.28,0.99,0,48.94,100,51.06,0.31,51.37
2010-02,5.35,33.92,11.13,0.85,0,51.25,100,48.75,0.31,49.06
2010-03,5.9,30.13,12.73,0.76,0,49.52,100,50.48,0.27,50.75
2010-04,5.58,29.38,14.06,0.52,0,49.54,100,50.46,0.17,50.63
2010-05,3.94,29.01,14.15,0.2,0,47.3,100,52.7,0.07,52.77
2010-06,3.95,26.66,14.98,0.17,0,45.76,100,54.24,0.06,54.3
2010-07,7.91,26.05,16.45,0.4,0,50.81,100,49.19,0.16,49.35
2010-08,9.22,25.71,16.95,0.4,0,52.28,100,47.72,0.19,47.91
2010-09,9.79,22.85,17.9,0.36,0,50.9,100,49.1,0.17,49.27
2010-10,10.67,22.45,18.19,0.5,0,51.81,100,48.19,0.13,48.32
2010-11,11.61,21.94,19.25,0.44,0,53.24,100,46.76,0.22,46.98
2010-12,13.6,23.57,18.04,0.4,0,55.61,100,44.39,0.25,44.64
2011-01,14.61,25.02,15.03,0.52,0,55.18,100,44.82,0.22,45.04
2011-02,15.16,24.56,14.52,0.61,0,54.85,100,45.15,0.19,45.34
2011-03,15.8,24.38,14.1,0.6,0,54.88,100,45.12,0.18,45.3
2011-04,16.05,23.34,13.54,0.58,0,53.51,100,46.49,0.16,46.65
2011-05,17.63,22.09,12.94,0.54,0,53.2,100,46.8,0.14,46.94
2011-06,17.92,20.04,12.15,0.49,0,50.6,100,49.4,0.12,49.52
2011-07,18.93,20.03,12.48,0.49,0,51.93,100,48.07,0.11,48.18
2011-08,20.6,19.41,11.84,0.49,0,52.34,100,47.66,0.1,47.76
2011-09,20.9,21.21,10.72,0.52,0,53.35,100,46.65,0.09,46.74
2011-10,22.11,23.48,9.49,0.59,0,55.67,100,44.33,0.13,44.46
2011-11,21.9,24.21,8.44,0.58,0,55.13,100,44.87,0.13,45
2011-12,21.83,22.71,7.78,0.56,0,52.88,100,47.12,0.12,47.24
2012-01,23.21,24.04,6.94,0.58,0,54.77,100,45.23,0.12,45.35
2012-02,24.76,25.49,6.76,0.63,0,57.64,100,42.36,0.11,42.47
2012-03,23.61,23.99,6.43,0.66,0,54.69,100,45.31,0.11,45.42
2012-04,23.79,23.85,6.1,0.69,0,54.43,100,45.57,0.1,45.67
2012-05,23.81,22.95,5.66,0.71,0,53.13,100,46.87,0.09,46.96
2012-06,25.07,24.56,5.26,0.73,0,55.62,100,44.38,0.08,44.46
2012-07,26.53,25.41,4.96,0.99,0,57.89,100,42.11,0.11,42.22
2012-08,28.21,24.48,4.65,1.19,0,58.53,100,41.47,0.12,41.59
2012-09,29.25,23.63,4.54,1.22,0,58.64,100,41.36,0.12,41.48
2012-10,30.19,23.72,4.29,1.22,0,59.42,100,40.58,0.11,40.69
2012-11,31.67,23.73,3.93,1.27,0,60.6,100,39.4,0.1,39.5
2012-12,33.19,23.26,3.53,1.16,0,61.14,100,38.86,0.08,38.94
2013-01,36.87,25.85,3.39,1.1,0,67.21,100,32.79,0.06,32.85
2013-02,36.9,27.21,3.32,1.12,0,68.55,100,31.45,0.06,31.51
2013-03,37.23,27.14,3.27,1.22,0,68.86,100,31.14,0.06,31.2
2013-04,38.34,26.46,3.27,1.28,0,69.35,100,30.65,0.06,30.71
2013-05,38.27,25.86,3.47,1.35,0,68.95,100,31.05,0.06,31.11
2013-06,37.93,25.09,3.46,1.43,0,67.91,100,32.09,0.06,32.15
2013-07,38.34,24.79,3.66,1.57,0,68.36,100,31.64,0.06,31.7
2013-08,39.52,23.44,3.75,1.67,0,68.38,100,31.62,0.06,31.68
2013-09,39.82,22.73,3.75,1.75,0,68.05,100,31.95,0.06,32.01
2013-10,39.39,20.54,3.81,1.76,0,65.5,100,34.5,0.07,34.57
2013-11,41.31,21.94,3.84,2.01,0.5,69.6,100,30.4,0.04,30.44
2013-12,42.99,21.82,3.63,2.13,0.61,71.18,100,28.82,0.02,28.84
2014-01,44.62,23.55,3.02,2.21,0.62,74.02,100,25.98,0.02,26
2014-02,47.45,22.97,2.62,2.28,0.62,75.94,100,24.06,0.02,24.08
2014-03,48.26,23.6,2.5,2.26,0.64,77.26,100,22.74,0.01,22.75
2014-04,49.95,23.25,2.16,2.44,0.65,78.45,100,21.55,0.01,21.56
2014-05,52.23,23.24,1.88,2.42,0.63,80.4,100,19.6,0.01,19.61
2014-06,52.98,24.29,1.87,2.39,0.57,82.1,100,17.9,0.01,17.91
2014-07,53.51,24.9,1.66,2.44,0.56,83.07,100,16.93,0.01,16.94
2014-08,54.87,23.57,1.59,2.38,0.58,82.99,100,17.01,0.01,17.02
2014-09,55.7,24.73,1.57,2.32,0.64,84.96,100,15.04,0.01,15.05
2014-10,57.43,25.96,1.29,2.35,0.55,87.58,100,12.42,0.01,12.43
2014-11,59.9,23.02,1.3,2.45,0.58,87.25,100,12.75,0.01,12.76
2014-12,59.15,23.51,1.33,2.27,1.07,87.33,100,12.67,0.01,12.68
2015-01,59.78,22.75,1.3,2.28,1.48,87.59,100,12.41,0.02,12.43
2015-02,60.79,23.17,1.2,2.3,1.4,88.86,100,11.14,0.01,11.15
2015-03,61.94,22.64,1.2,2.31,1.39,89.48,100,10.52,0,10.52
2015-04,63.43,20.78,1.22,2.36,1.52,89.31,100,10.69,0,10.69
2015-05,64,20.22,1.14,2.33,1.86,89.55,100,10.45,0,10.45
2015-06,63.75,20.22,1.26,2.26,2.23,89.72,100,10.28,0,10.28
2015-07,64.08,20.41,1.19,2.31,2.25,90.24,100,9.76,0,9.76
2015-08,65.56,19.03,1.35,2.25,2.3,90.49,100,9.51,0,9.51
2015-09,66.77,18.14,1.26,2.22,2.36,90.75,100,9.25,0,9.25
2015-10,67.15,17.7,1.09,2.3,2.55,90.79,100,9.21,0,9.21
2015-11,65.73,19.3,1,2.29,2.5,90.82,100,9.18,0,9.18
2015-12,65.9,19.21,1.08,2.31,2.61,91.11,100,8.89,0,8.89
2016-01,66.28,19.58,0.98,2.18,2.51,91.53,100,8.47,0,8.47
2016-02,66.38,19.47,0.98,2.12,2.5,91.45,100,8.55,0,8.55
2016-03,68.04,18.82,0.91,1.93,2.32,92.02,100,7.98,0,7.98
2016-04,68.28,18.8,0.95,1.91,2.33,92.27,100,7.73,0,7.73
2016-05,68.84,18.63,0.93,1.85,2.28,92.53,100,7.47,0,7.47
2016-06,68.39,20.33,0.83,1.96,1.89,93.4,100,6.6,0,6.6
2016-07,68.79,19.89,0.76,1.85,1.96,93.25,100,6.75,0,6.75
2016-08,68.54,20.07,0.64,1.76,1.93,92.94,100,7.06,0,7.06
2016-09,69.68,19.38,0.6,1.63,1.88,93.17,100,6.83,0,6.83
2016-10,70.84,19.12,0.56,1.47,1.87,93.86,100,6.14,0,6.14
2016-11,72.01,18.85,0.52,1.34,1.64,94.36,100,5.64,0,5.64
2016-12,71.97,18.89,0.44,1.24,1.54,94.08,100,5.92,0,5.92
2017-01,71.58,19.73,0.42,1.14,1.52,94.39,100,5.61,0,5.61
2017-02,71.98,19.45,0.45,1.13,1.5,94.51,100,5.49,0,5.49
2017-03,71.61,19.5,0.36,1.01,1.35,93.83,100,6.17,0,6.17
2017-04,71.84,19.87,0.32,0.96,1.22,94.21,100,5.79,0,5.79
2017-05,72.68,19.32,0.31,0.92,1.24,94.47,100,5.53,0,5.53
2017-06,72.89,19.35,0.28,0.89,1.19,94.6,100,5.4,0,5.4
2017-07,73.39,18.78,0.27,0.85,1.17,94.46,100,5.54,0,5.54
2017-08,72.74,20.32,0.26,0.82,1.06,95.2,100,4.8,0,4.8
2017-09,73.52,19.37,0.25,0.77,0.94,94.85,100,5.15,0,5.15
2017-10,73.05,19.99,0.23,0.75,0.89,94.91,100,5.09,0,5.09
2017-11,73.11,20.34,0.2,0.71,0.53,94.89,100,5.11,0,5.11
2017-12,73.54,19.91,0.18,0.64,0.29,94.56,100,5.44,0,5.44
2018-01,74.39,19.64,0.16,0.61,0.28,95.08,100,4.92,0,4.92
2018-02,74.78,20.15,0.15,0.58,0.24,95.9,100,4.1,0,4.1
2018-03,74.24,20.83,0.14,0.55,0.23,95.99,100,4.01,0,4.01
2018-04,75.66,19.23,0.14,0.54,0.24,95.81,100,4.19,0,4.19
2018-05,76.53,18.97,0.11,0.49,0.22,96.32,100,3.68,0,3.68
2018-06,76.99,18.91,0.09,0.47,0.2,96.66,100,3.34,0,3.34
2018-07,77.32,19.4,0.08,0.43,0.18,97.41,100,2.59,0,2.59
2018-08,76.82,20.45,0.08,0.4,0.18,97.93,100,2.07,0,2.07
2018-09,76.61,20.66,0.06,0.37,0.16,97.86,100,2.14,0,2.14
2018-10,74.69,22.34,0.06,0.36,0.16,97.61,100,2.39,0,2.39
2018-11,72.35,24.44,0.06,0.39,0.17,97.41,100,2.59,0,2.59
2018-12,75.16,21.98,0.05,0.33,0.15,97.67,100,2.33,0,2.33
2019-01,74.45,22.85,0.05,0.3,0.14,97.79,100,2.21,0,2.21
2019-02,74.15,23.28,0.05,0.29,0.14,97.91,100,2.09,0,2.09
2019-03,75.33,22.4,0.04,0.28,0.13,98.18,100,1.82,0,1.82
